E,coh
4.9204000000e-05,8.076028e-01
4.9659200000e-05,8.132287e-01
5.0118700000e-05,8.187009e-01
5.0582500000e-05,8.236382e-01
5.1050500000e-05,8.286090e-01
5.1522900000e-05,8.336165e-01
5.1999600000e-05,8.386541e-01
5.2480700000e-05,8.437284e-01
5.2966300000e-05,8.488396e-01
5.3456400000e-05,8.539841e-01
5.3951100000e-05,8.591655e-01
5.4450300000e-05,8.643802e-01
5.4954100000e-05,8.695415e-01
5.5462600000e-05,8.739373e-01
5.5975800000e-05,8.783564e-01
5.6493700000e-05,8.828057e-01
5.7016400000e-05,8.872984e-01
5.7544000000e-05,8.918179e-01
5.8076400000e-05,8.963641e-01
5.8613800000e-05,9.007799e-01
5.9156200000e-05,9.045406e-01
5.9703500000e-05,9.083213e-01
6.0256000000e-05,9.121220e-01
6.0813500000e-05,9.159395e-01
6.1376200000e-05,9.197737e-01
6.1944100000e-05,9.236279e-01
6.2517300000e-05,9.274989e-01
6.3095700000e-05,9.313230e-01
6.3679600000e-05,9.344786e-01
6.4268800000e-05,9.376443e-01
6.4863400000e-05,9.408266e-01
6.5463600000e-05,9.440190e-01
6.6069300000e-05,9.472247e-01
6.6680700000e-05,9.504539e-01
6.7297700000e-05,9.536730e-01
6.7920400000e-05,9.563238e-01
6.8548800000e-05,9.589880e-01
6.9183100000e-05,9.616589e-01
6.9823200000e-05,9.643365e-01
7.0469300000e-05,9.670241e-01
7.1121400000e-05,9.697217e-01
7.1779400000e-05,9.724261e-01
7.2443600000e-05,9.750268e-01
7.3113900000e-05,9.770157e-01
7.3790400000e-05,9.790080e-01
7.4473200000e-05,9.810070e-01
7.5162300000e-05,9.830094e-01
7.5857800000e-05,9.850184e-01
7.6559700000e-05,9.870307e-01
7.7268100000e-05,9.890498e-01
7.7983000000e-05,9.910722e-01
7.8704600000e-05,9.931013e-01
7.9432800000e-05,9.950200e-01
8.0167800000e-05,9.963337e-01
8.0909600000e-05,9.976575e-01
8.1658200000e-05,9.989779e-01
8.2413800000e-05,1.000305e+00
8.3176400000e-05,1.001632e+00
8.3946000000e-05,1.002959e+00
8.4722700000e-05,1.004293e+00
8.5506700000e-05,1.005627e+00
8.6297900000e-05,1.006960e+00
8.7096400000e-05,1.008301e+00
8.7902300000e-05,1.009023e+00
8.8715600000e-05,1.009745e+00
8.9536500000e-05,1.010470e+00
9.0364900000e-05,1.011196e+00
9.1201100000e-05,1.011921e+00
9.2045000000e-05,1.012650e+00
9.2896600000e-05,1.013375e+00
9.3756200000e-05,1.014104e+00
9.4623700000e-05,1.014833e+00
9.5499300000e-05,1.015562e+00
9.6382900000e-05,1.016123e+00
9.7274700000e-05,1.016441e+00
9.8174800000e-05,1.016775e+00
9.9083200000e-05,1.017106e+00
1.0000000000e-04,1.017440e+00
1.0092500000e-04,1.017774e+00
1.0185900000e-04,1.018109e+00
1.0280200000e-04,1.018443e+00
1.0375300000e-04,1.018777e+00
1.0471300000e-04,1.019112e+00
1.0568200000e-04,1.019061e+00
1.0666000000e-04,1.018971e+00
1.0764700000e-04,1.018878e+00
1.0864300000e-04,1.018784e+00
1.0964800000e-04,1.018694e+00
1.1066200000e-04,1.018600e+00
1.1168600000e-04,1.018510e+00
1.1272000000e-04,1.018416e+00
1.1376300000e-04,1.018326e+00
1.1481500000e-04,1.018232e+00
1.1587800000e-04,1.018142e+00
1.1695000000e-04,1.018049e+00
1.1803200000e-04,1.017958e+00
1.1912400000e-04,1.017865e+00
1.2022600000e-04,1.017644e+00
1.2133900000e-04,1.017146e+00
1.2246200000e-04,1.016648e+00
1.2359500000e-04,1.016153e+00
1.2473800000e-04,1.015658e+00
1.2589300000e-04,1.015160e+00
1.2705700000e-04,1.014666e+00
1.2823300000e-04,1.014171e+00
1.2942000000e-04,1.013676e+00
1.3061700000e-04,1.013181e+00
1.3182600000e-04,1.012687e+00
1.3304500000e-04,1.012192e+00
1.3427600000e-04,1.011697e+00
1.3551900000e-04,1.011203e+00
1.3677300000e-04,1.010711e+00
1.3803800000e-04,1.009966e+00
1.3931600000e-04,1.009170e+00
1.4060500000e-04,1.008374e+00
1.4190600000e-04,1.007582e+00
1.4321900000e-04,1.006787e+00
1.4454400000e-04,1.005994e+00
1.4588100000e-04,1.005202e+00
1.4723100000e-04,1.004410e+00
1.4859400000e-04,1.003618e+00
1.4996800000e-04,1.002829e+00
1.5135600000e-04,1.002037e+00
1.5275700000e-04,1.001248e+00
1.5417000000e-04,1.000465e+00
1.5559700000e-04,9.996899e-01
1.5703600000e-04,9.989144e-01
1.5848900000e-04,9.981389e-01
1.5995600000e-04,9.972898e-01
1.6143600000e-04,9.961867e-01
1.6293000000e-04,9.950835e-01
1.6443700000e-04,9.939804e-01
1.6595900000e-04,9.928773e-01
1.6749400000e-04,9.917775e-01
1.6904400000e-04,9.906777e-01
1.7060800000e-04,9.895813e-01
1.7218700000e-04,9.884849e-01
1.7378000000e-04,9.873884e-01
1.7538800000e-04,9.862953e-01
1.7701100000e-04,9.852022e-01
1.7864900000e-04,9.841125e-01
1.8030200000e-04,9.830227e-01
1.8197000000e-04,9.819330e-01
1.8365400000e-04,9.806794e-01
1.8535300000e-04,9.792688e-01
1.8706800000e-04,9.778615e-01
1.8879900000e-04,9.764541e-01
1.9054600000e-04,9.750502e-01
1.9230900000e-04,9.736462e-01
1.9408900000e-04,9.722456e-01
1.9588400000e-04,9.708483e-01
1.9769700000e-04,9.694510e-01
1.9952600000e-04,9.680570e-01
2.0137200000e-04,9.666664e-01
2.0323600000e-04,9.652758e-01
2.0511600000e-04,9.638886e-01
2.0701400000e-04,9.625013e-01
2.0893000000e-04,9.611174e-01
2.1086300000e-04,9.597368e-01
2.1281400000e-04,9.580186e-01
2.1478300000e-04,9.563071e-01
2.1677000000e-04,9.545989e-01
2.1877600000e-04,9.528941e-01
2.2080000000e-04,9.511926e-01
2.2284400000e-04,9.494945e-01
2.2490500000e-04,9.477997e-01
2.2698600000e-04,9.461049e-01
2.2908700000e-04,9.444168e-01
2.3120600000e-04,9.427287e-01
2.3334600000e-04,9.408801e-01
2.3550500000e-04,9.388611e-01
2.3768400000e-04,9.368453e-01
2.3988300000e-04,9.348363e-01
2.4210300000e-04,9.328306e-01
2.4434300000e-04,9.308317e-01
2.4660400000e-04,9.288327e-01
2.4888600000e-04,9.268437e-01
2.5118900000e-04,9.248547e-01
2.5351300000e-04,9.228725e-01
2.5585900000e-04,9.207364e-01
2.5822600000e-04,9.183396e-01
2.6061500000e-04,9.159495e-01
2.6302700000e-04,9.135661e-01
2.6546100000e-04,9.111894e-01
2.6791700000e-04,9.088193e-01
2.7039600000e-04,9.064560e-01
2.7289800000e-04,9.040960e-01
2.7542300000e-04,9.017460e-01
2.7797100000e-04,8.993993e-01
2.8054300000e-04,8.970627e-01
2.8313900000e-04,8.944487e-01
2.8575900000e-04,8.917042e-01
2.8840300000e-04,8.889698e-01
2.9107200000e-04,8.862421e-01
2.9376500000e-04,8.835244e-01
2.9648300000e-04,8.805326e-01
2.9922600000e-04,8.774539e-01
3.0199500000e-04,8.743852e-01
3.0478900000e-04,8.713265e-01
3.0761000000e-04,8.682813e-01
3.1045600000e-04,8.652126e-01
3.1332900000e-04,8.617427e-01
3.1622800000e-04,8.582896e-01
3.1915400000e-04,8.548499e-01
3.2210700000e-04,8.514235e-01
3.2508700000e-04,8.478100e-01
3.2809500000e-04,8.438755e-01
3.3113100000e-04,8.399577e-01
3.3419500000e-04,8.360634e-01
3.3728700000e-04,8.321857e-01
3.4040800000e-04,8.282045e-01
3.4355800000e-04,8.236416e-01
3.4673700000e-04,8.191054e-01
3.4994500000e-04,8.145960e-01
3.5318300000e-04,8.101099e-01
3.5645100000e-04,8.056540e-01
3.5974900000e-04,8.003857e-01
3.6307800000e-04,7.950774e-01
3.6643800000e-04,7.898058e-01
3.6982800000e-04,7.845676e-01
3.7325000000e-04,7.792827e-01
3.7670400000e-04,7.728812e-01
3.8018900000e-04,7.665366e-01
3.8370700000e-04,7.602488e-01
3.8725800000e-04,7.540145e-01
3.9084100000e-04,7.473824e-01
3.9445700000e-04,7.398577e-01
3.9810700000e-04,7.324133e-01
4.0179100000e-04,7.250458e-01
4.0550900000e-04,7.174209e-01
4.0926100000e-04,7.086026e-01
4.1304800000e-04,6.999013e-01
4.1686900000e-04,6.913136e-01
4.2072700000e-04,6.811783e-01
4.2462000000e-04,6.710663e-01
4.2854900000e-04,6.611148e-01
4.3251400000e-04,6.492078e-01
4.3651600000e-04,6.375247e-01
4.4055500000e-04,6.249692e-01
4.4463100000e-04,6.114007e-01
4.4874500000e-04,5.972473e-01
4.5289800000e-04,5.815763e-01
4.5708800000e-04,5.651699e-01
4.6131800000e-04,5.471723e-01
4.6558600000e-04,5.275333e-01
4.6989400000e-04,5.073896e-01
4.7424200000e-04,4.880817e-01
4.7863000000e-04,4.775051e-01
4.8305900000e-04,4.731761e-01
4.8752800000e-04,4.754960e-01
4.9204000000e-04,4.833817e-01
4.9659200000e-04,4.995708e-01
5.0118700000e-04,5.380498e-01
5.0582500000e-04,6.384941e-01
5.1050500000e-04,8.869207e-01
5.1522900000e-04,1.291660e+00
5.1999600000e-04,1.632692e+00
5.2480700000e-04,1.642583e+00
5.2966300000e-04,1.296447e+00
5.3456400000e-04,9.092639e-01
5.3951100000e-04,7.857911e-01
5.4450300000e-04,8.379922e-01
5.4954100000e-04,9.036514e-01
5.5462600000e-04,9.511291e-01
5.5975800000e-04,9.893974e-01
5.6493700000e-04,1.024564e+00
5.7016400000e-04,1.057300e+00
5.7544000000e-04,1.088017e+00
5.8076400000e-04,1.118851e+00
5.8613800000e-04,1.147435e+00
5.9156200000e-04,1.174070e+00
5.9703500000e-04,1.198727e+00
6.0256000000e-04,1.222089e+00
6.0813500000e-04,1.243417e+00
6.1376200000e-04,1.263316e+00
6.1944100000e-04,1.282504e+00
6.2517300000e-04,1.299054e+00
6.3095700000e-04,1.315420e+00
6.3679600000e-04,1.328471e+00
6.4268800000e-04,1.341655e+00
6.4863400000e-04,1.354090e+00
6.5463600000e-04,1.364469e+00
6.6069300000e-04,1.374935e+00
6.6680700000e-04,1.385485e+00
6.7297700000e-04,1.393692e+00
6.7920400000e-04,1.401658e+00
6.8548800000e-04,1.409667e+00
6.9183100000e-04,1.417730e+00
6.9823200000e-04,1.424285e+00
7.0469300000e-04,1.430586e+00
7.1121400000e-04,1.436918e+00
7.1779400000e-04,1.443279e+00
7.2443600000e-04,1.449667e+00
7.3113900000e-04,1.456089e+00
7.3790400000e-04,1.461123e+00
7.4473200000e-04,1.466174e+00
7.5162300000e-04,1.471241e+00
7.5857800000e-04,1.476326e+00
7.6559700000e-04,1.481434e+00
7.7268100000e-04,1.486558e+00
7.7983000000e-04,1.491699e+00
7.8704600000e-04,1.495661e+00
7.9432800000e-04,1.499080e+00
8.0167800000e-04,1.502507e+00
8.0909600000e-04,1.505943e+00
8.1658200000e-04,1.509389e+00
