E,coh
0.001,1.5362020013580473
0.00104881,1.5343273689481483
0.0011,1.5285436216430952
0.00125,1.492881287163203
0.0014,1.4481391411765436
0.0015,1.4174945343591165
0.00162019,1.3797532853709558
0.00175,1.3397309788536393
0.00187083,1.3009035585853839
0.002,1.2604429946932758
0.0022,1.1973282290908276
0.0025,1.1066029464480147
0.00273861,1.038493365216111
0.00286633,1.0033359550754442
0.003,0.9683075952953788
0.00324037,0.9076328935590415
0.0035,0.8467405927468793
0.004,0.7423636582926453
0.0045,0.6538913677768076
0.005,0.5788837624968282
0.0055,0.5159745085387932
0.006,0.4625665836733724
0.00648074,0.4186707276095938
0.007,0.3787175052518535
0.008,0.3167146704596068
0.009,0.2703850097890864
0.01,0.234235070716867
0.011,0.20571385458493568
0.0125,0.1728358882854827
0.014,0.14811094726589763
0.015,0.13453247799318216
0.0162019,0.12078571427358428
0.0175,0.10822666463588124
0.02,0.08911780969516071
0.022,0.07726180774094461
0.025,0.06335261893429606
0.0273861,0.054638587570679374
0.0286633,0.05068038123356311
0.03,0.04693797280054024
0.035,0.0361793268648268
0.0374166,0.032251607754023866
0.04,0.028745183809587297
0.045,0.023336830079401013
0.05,0.01934874456699154
0.055,0.016284860995740304
0.06,0.013898751930740215
0.0648074,0.012055647147356904
0.07,0.01045698179169814
0.08,0.008142567888288241
0.09,0.006520921687727638
0.1,0.005333230598766378
0.11,0.0044448507663067995
0.11726,0.003927106677220428
0.125,0.003469606618245148
0.14,0.002785583294957318
0.15,0.002433850217884431
0.162019,0.0020921798305814187
0.175,0.001798494973979263
0.187083,0.0015776192591428198
0.2,0.0013830535988240285
0.22,0.0011453528847877328
0.234521,0.0010090811601005001
0.25,0.0008890268385866707
0.273861,0.0007420846393037904
0.286633,0.000677986347915875
0.3,0.0006194272642935855
0.324037,0.0005314469144538225
0.336768,0.0004921959526505915
0.35,0.0004557764697453218
0.374166,0.0003989449193254159
0.386867,0.0003732461714109367
0.4,0.00034920130903666295
0.424264,0.00031049816695148425
0.45,0.00027608438058910625
0.474342,0.00024854486455606586
0.5,0.0002237531273259116
0.524404,0.00020346361459995353
0.55,0.00018501344975817803
0.574456,0.00016963501562898035
0.6,0.0001555344851048211
0.623574,0.0001440263342920517
0.648074,0.0001333697793936412
0.673537,0.00012350156083538238
0.7,0.00011436367952017002
0.748331,0.00010010391258833578
0.773735,9.364741448824988e-05
0.8,8.76027435817346e-05
0.848528,7.787398280086983e-05
0.9,6.922447549137362e-05
0.948683,6.230461475931151e-05
1.0,5.6076407300484955e-05
1.022,5.368910673185492e-05
1.03,5.285867970038087e-05
1.04881,5.098044224249795e-05
1.05,5.086499958838473e-05
1.1,4.634776186489503e-05
1.15,4.240647815945476e-05
1.1726,4.0788161169021105e-05
1.2,3.894740788263998e-05
1.25,3.5895211752684026e-05
1.3,3.31882888444232e-05
1.32288,3.2050670322234995e-05
1.4,2.861804319694542e-05
1.5,2.493076590999554e-05
1.55893,2.3082209691092195e-05
1.62019,2.137036182350248e-05
1.68384,1.978589923018181e-05
1.75,1.8318709790403407e-05
1.87083,1.6029678277632226e-05
2.0,1.4026748780649713e-05
2.044,1.3429598753908887e-05
2.05,1.3351133849621433e-05
2.09762,1.2752061668697161e-05
2.1,1.2723184640546603e-05
2.2,1.1593240171034093e-05
2.25,1.1083904602201799e-05
2.34521,1.0202417894662552e-05
2.5,8.97829408721718e-06
2.73861,7.481962532583554e-06
3.0,6.23498734433229e-06
3.24037,5.344312585485672e-06
3.5,4.5808659570687915e-06
3.74166,4.008270813312424e-06
4.0,3.5072585995490795e-06
4.5,2.7712066193442374e-06
5.0,2.2446935650821886e-06
5.5,1.8551335201159578e-06
6.0,1.55883988661283e-06
6.48074,1.336156994090403e-06
7.0,1.1452835218646742e-06
8.0,8.768603523900409e-07
9.0,6.928284288149857e-07
10.0,5.611919509047653e-07
11.0,4.6379524668276067e-07
12.0,3.8971291886831927e-07
12.5,3.5916200021109924e-07
13.0,3.3206792865361693e-07
14.0,2.863239516326581e-07
15.0,2.494192527342653e-07
16.0,2.1921569898173227e-07
17.5,1.832470907738087e-07
18.0,1.732081056777352e-07
20.0,1.4029909235377432e-07
22.0,1.1594992667717134e-07
24.0,9.743003679633233e-08
25.0,8.97914924044172e-08
26.0,8.30172838067489e-08
28.0,7.158118853201069e-08
30.0,6.235499441173015e-08
35.0,4.5811918523866784e-08
40.0,3.507487674487836e-08
45.0,2.7713413833516655e-08
50.0,2.2447835232984685e-08
55.0,1.8551943338430305e-08
60.0,1.5588801759384014e-08
70.0,1.1452992682327226e-08
80.0,8.768704219359657e-09
90.0,6.928355387617179e-09
100.0,5.611952937008578e-09
110.0,4.637985914977258e-09
125.0,3.5916457111260954e-09
140.0,2.863251638342608e-09
150.0,2.494201095873659e-09
175.0,1.8324742547312422e-09
200.0,1.402992362555723e-09
220.0,1.159499266771711e-09
250.0,8.979181248663753e-10
300.0,6.235499441173024e-10
350.0,4.5812037697550477e-10
400.0,3.5074878795246214e-10
450.0,2.771344738966846e-10
500.0,2.2447868802902954e-10
550.0,1.855197690807079e-10
600.0,1.5588818554078977e-10
700.0,1.145299268232716e-10
800.0,8.768704219359669e-11
900.0,6.928355387617163e-11
948.683,6.235516251410528e-11
1000.0,5.611952937008586e-11
