E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
0.001,0.7254966900793743,3859.9763426607888,177.74080608280082,11.929770698361612,23.625936131821877
0.00104881,0.650613581380552,3410.052076582185,157.5947579909837,10.109029781034124,20.05055401994697
0.0011,0.5545453314064495,3007.624464470087,139.53324271209175,8.566238749427901,16.974608342609624
0.00125,0.36124901368588147,2136.99263809037,100.58723596086492,5.4733482249967205,10.843468741188701
0.0014,0.24705615778760867,1573.8937333759154,74.90439682661024,3.6616174439256306,7.253905155475967
0.0015,0.1959260834903663,1302.5215314923726,62.476214029130546,2.861103562586416,5.659185967570009
0.00162019,0.15104884332148666,1052.8389109542888,50.91819687861698,2.165284643844404,4.286116209722498
0.00175,0.11645315957956222,849.5066267487214,41.395161008348744,1.6369142674316226,3.235080017818444
0.00187083,0.09295885467145369,705.2310921881964,34.563953611240464,1.2805340633410502,2.5333395874000715
0.002,0.07420485167568688,583.6405662777628,28.828039288336743,1.0015153611525864,1.9788394049596763
0.0022,0.05374940914623821,445.4727198086576,22.191549505015292,0.7024063159354825,1.3879693719914419
0.0025,0.0348221784185803,308.5535411499344,15.570179158560947,0.43469929782034955,0.8585785227260027
0.00273861,0.025551787904635703,237.06146279151113,12.06995563899104,0.3079195308778187,0.6072611876084263
0.00286633,0.021887738182824693,207.53418392474066,10.606499070761505,0.2586622911710563,0.5105804430010489
0.003,0.018749239227319015,181.68582549424963,9.320540376395218,0.21722759794525268,0.4285120115831858
0.00324037,0.014425609628139092,144.95052624762752,7.486400736653179,0.16169886591806293,0.31862241019422494
0.0035,0.011088781316869585,115.40439393353803,5.995904341180135,0.11998452222961481,0.23643017230669003
0.004,0.007029877735286286,77.60163777570696,4.072083599006768,0.07125804728700089,0.14038135251203343
0.0045,0.004702792420746162,54.5303463216596,2.8842242918983865,0.04486184909528618,0.08831368202385688
0.005,0.0032822977095921073,39.660052260078224,2.1096221257694396,29550657.841230888,0.0581317109797336
0.0055,0.0023699375625681916,29.7083357496697,1.588232833314371,20241311.576979876,0.039799376733477686
0.006,0.001758616478551182,22.770384540865482,1.2223736838836423,14300824.65367928,28098346.01798374
0.00648074,0.0013502088620920814,17.978856961728017,0.9692080675146242,10512663.706320269,20636152.902508076
0.007,0.001036645951780955,14.190008301913569,0.766335304597775,7727946.172196691,15155711.89974996
0.008,0.0006558329854958994,9.381498378893692,0.5101634999616369,4525672.549034012,8853706.53282149
0.009,0.0004377896844139255,6.502782189193219,0.3547279934069242,2817876.5362411933,5503633.859364481
0.01,0.00030456437746383553,4.674544190300777,0.2561797721403909,1842557.1822189277,3589303.8311691214
0.011,0.00021934356716495778,3.466065533569211,0.1902571732357549,1252278.3411798333,2435746.627340375
0.0125,0.0001412297422816706,2.312110153958493,0.12758768978219706,745884.7532581511,1445940.9782762756
0.014,9.559206699887314e-05,1.6142324908687709,0.08922206755318593,469093.03584396996,907940.7906447431
0.015,7.537545329988517e-05,1.2949855817419522,0.07176383874293167,353705.4992451104,683952.8842148372
0.0162019,5.7802285286884245e-05,1.012391112760103,0.056184293734699804,258020.8611230344,497800.78189718485
0.0175,4.431319645594367e-05,0.7910304044462438,0.04394164753510717,187990.01193854315,362013.9883069885
0.02,2.7949513887497418e-05,0.5142674675973916,28692056.586384114,108504.67836403463,208478.81108411387
0.022,2.0114447721534723e-05,0.37819157314993923,21110291.91271154,73296.32621780064,140521.73306541823
0.025,1.2938704319556027e-05,0.24965992259891345,13987859.242958667,43309.281916587905,82635.81014863508
0.0273861,9.44596843136561e-06,0.18560025387949874,10406819.080573881,2.9748906679535135e-05,56590.30078374843
0.0286633,8.070885039318033e-06,0.16002597213066108,8974148.711542621,2.46533819825444e-05,46830.09141204476
0.03,6.896008260767086e-06,0.1379208142935587,7738763.045678028,2.043082605440254e-05,38753.58840573335
0.035,4.051458395946706e-06,0.083220259286555,4685836.778715499,1.0822970153029383e-05,2.0429958611786525e-05
0.0374166,3.218492562243361e-06,0.06686537533795035,3765722.689278574,8.21922932003341e-06,1.548246207097728e-05
0.04,2.556790591302432e-06,0.053724884939631075,3026296.6455820245,6.241898548979106e-06,1.1733157720980467e-05
0.045,1.703556937664853e-06,0.03646379076017357,2057923.8647663775,3.845459287120841e-06,7.193966943159014e-06
0.05,1.1847211997713112e-06,25761679.19642061,1456189.989579477,2.497607721404395e-06,4.648087304946203e-06
0.055,8.52948398134752e-07,18813937.049587905,1063733.9089238432,1.6903609540151822e-06,3.1361109144228663e-06
0.06,6.319083896917291e-07,14119980.293933654,798588.7728855059,1.1863745534981728e-06,2.189711561115071e-06
0.0648074,4.850555265216276e-07,10947289.5675069,619486.1975268149,8.672616867239162e-07,1.593667582742109e-06
0.07,3.724472153565684e-07,8487480.94397713,480551.29261119483,6.342636674837718e-07,1.1620400352388278e-06
0.08,2.356692320657186e-07,3819.6216721274427,3866.807404198974,928.9025538611527,1704.921273425562
0.09,1.573919301558489e-07,3701593.307404477,209951.4676646069,2.313037300228303e-07,4.173028533889206e-07
0.1,1.0989192264135985e-07,2613963.5905397786,148423.46813538455,1.5208553388258716e-07,2.730729435376901e-07
0.11,7.94720652636303e-08,1908194.988135229,108499.71162938554,1.0446146849370525e-07,1.8628324226995216e-07
0.11726,6.394871117265275e-08,1545879.4700113812,87938.65817269751,8.128468173954863e-08,1.4457826246848155e-07
0.125,5.1546595569717105e-08,1253538.5651329837,71272.41188330005,6.338019821089922e-08,1.1220718759212742e-07
0.14,3.520088587228933e-08,864429.7070927273,49217.85304010268,4.090544749124554e-08,7.19941862564466e-08
0.15,2.7929951695921138e-08,690343.8908559541,39317.36382447079,3.1388031929470504e-08,5.5074846206917184e-08
0.162019,2.160205374981553e-08,537690.5196652348,3.0605353649613875e-05,2.3442016757258848e-08,4.090925769288825e-08
0.175,1.6708164059107444e-08,418924.7862002512,2.3887496966299916e-05,1.7536839910853642e-08,3.050857686907271e-08
0.187083,1.3412317011385676e-08,338336.04011809884,1.927237349622286e-05,1.3680320235746324e-08,2.3703415094622243e-08
0.2,1.0768861184482726e-08,273251.38496820285,1.557102412563733e-05,1.068893728424025e-08,1.8477732596742896e-08
0.22,7.90167769868496e-09,201991.88151968765,1.1502950535673373e-05,7.54585253144952e-09,1.3017536206826856e-08
0.234521,6.424758365307388e-09,165100.37015866314,9.40576431887097e-06,5.99647143735029e-09,1.032927867612501e-08
0.25,5.23864408422701e-09,135248.10292859407,7.702375754474102e-06,4.771094257925865e-09,8.213925252575091e-09
0.273861,3.923011619294627e-09,101974.5660025431,5.809903146936445e-06,3.4600800374392458e-09,5.962047704708949e-09
0.286633,3.402378955913018e-09,88760.33540765151,5.051576577658329e-06,2.9553294394895447e-09,5.095572582527525e-09
