q,F_q
0,10
0.005,9.9963
0.01,9.98678
0.015,9.97148
0.02,9.94932
0.025,9.92104
0.03,9.88668
0.04,9.80028
0.05,9.69126
0.07,9.41144
0.09,9.06146
0.1,8.86574
0.125,8.32902
0.15,7.75238
0.175,7.16282
0.2,6.58126
0.25,5.50418
0.3,4.58834
0.4,3.26398
0.5,2.476284
0.6,2.02515
0.7,1.76177
0.8,1.59737
0.9,1.482482
1,1.3900622
1.25,1.1879894
1.5,0.9990874
2,0.67297806
2.5,0.44210706
3,0.318598032
3.5,0.19520746
4,0.152463208
5,0.066925994
6,0.0365125638
7,0.0211067906
8,0.015803984
10,0.0052016335
15,0.001287523
20,0.000419182232
50,1.13896182e-05
80,1.80099952e-06
100,7.53873644e-07
1000,1.447563646e-10
1000000,7.820401636e-20
1000000000,7.999700002e-29
